Year,FED Id,FED Name,Winning Pid,Population,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2006,13009,Saint John,LIB,83463,40294,40080,17202,15753,6267,0,858,0
2006,13010,Tobique--Mactaquac,CPC,70105,36675,36303,15558,15894,4172,0,679,0
2006,24046,Abitibi--Baie-James--Nunavik--Eeyou,BQ ,80052,30471,29909,6700,6261,1810,13928,1210,0
2006,24001,Abitibi--Témiscamingue,BQ ,104620,47673,47073,6501,10634,4022,24637,1279,0
2006,24002,Ahuntsic,BQ ,99848,50511,49925,18594,6119,3948,19428,1836,0
2006,24003,Alfred-Pellan,BQ ,99841,54769,53978,14895,10210,3838,23193,1842,0
2006,24004,Argenteuil--Papineau--Mirabel,BQ ,98467,54279,53433,7171,12461,3466,27855,2480,0
2006,24054,Bas-Richelieu--Nicolet--Bécancour,BQ ,92650,50488,49611,6438,11588,2248,27742,1595,0
2006,24005,Beauce,CPC,102072,55532,55078,4364,36915,1405,10997,1397,0
2006,24006,Beauharnois--Salaberry,BQ ,103808,56151,55098,8272,14609,4163,26190,1864,0
2006,24007,Beauport--Limoilou,CPC,98990,49721,49083,4929,19409,3917,18589,2005,234
2006,24008,Berthier--Maskinongé,BQ ,103516,54778,53998,5605,16958,3319,26191,1925,0
2006,24009,Bourassa,LIB,99862,43907,43092,18705,6830,2237,13777,1370,173
2006,24010,Brome--Missisquoi,BQ ,88128,49074,48520,13569,9874,2839,18596,1721,1921
2006,24011,Brossard--La Prairie,BQ ,100489,58211,57666,20190,9749,4301,21433,1883,110
2006,24012,Chambly--Borduas,BQ ,104995,62381,61619,6933,12703,5167,33703,3113,0
2006,24013,Charlesbourg--Haute-Saint-Charles,CPC,90162,50220,49717,4364,20406,3084,19034,1262,1567
2006,24015,Châteauguay--Saint-Constant,BQ ,102709,55940,55028,10295,11219,2865,28274,2375,0
2006,24016,Chicoutimi--Le Fjord,BQ ,98739,50529,49954,14581,12350,2571,19226,1226,0
2006,24017,Compton--Stanstead,BQ ,94167,50429,49843,11126,12131,3099,21316,2171,0
2006,24018,Drummond,BQ ,87808,46195,45434,7437,10134,2870,22575,2418,0
2006,24019,Gaspésie--Îles-de-la-Madeleine,BQ ,84202,41884,41410,7977,13347,1225,17678,1183,0
2006,24020,Gatineau,BQ ,102898,54160,53743,16826,9014,5354,21093,1456,0
2006,24041,Haute-Gaspésie--La Mitis--Matane--Matapédia,BQ ,74475,34529,34145,4463,10157,2116,15721,910,778
2006,24021,Hochelaga,BQ ,100934,46730,46007,7932,5617,4101,25570,2235,552
2006,24022,Honoré-Mercier,LIB,100981,51979,51329,19622,8952,3191,17879,1502,183
2006,24023,Hull--Aylmer,LIB,102331,54117,53794,17576,9284,8334,15788,2687,125
2006,24024,Jeanne-Le Ber,BQ ,103092,50933,50260,17118,5951,4621,20213,2357,0
2006,24025,Joliette,BQ ,97344,53880,52898,5245,14192,2745,28630,2086,0
